ID,Plaintext Name,Solar System Flag,Phylum,Samples,cfreq_1336mhz,cfreq_2008mhz,cfreq_4536mhz,cfreq_8336mhz,Unnamed: 9
1,446 Aeternitas,1,MinorBody,P,0,0,0,0,
2,52 Europa,1,MinorBody,P,0,0,0,0,
3,624 Hektor,1,MinorBody,P,0,0,0,0,
4,434 Hungaria,1,MinorBody,P,0,0,0,0,
5,16 Psyche,1,MinorBody,P,0,0,0,0,
6,3628 Boznemcova,1,MinorBody,P,0,0,0,0,
7,420 Bertholda,1,MinorBody,P,0,0,0,0,
8,1862 Apollo,1,MinorBody,P,1,1,1,1,
9,349 Dembowska,1,MinorBody,P,0,0,0,0,
10,15 Eunomia,1,MinorBody,P,1,1,1,1,
11,233 Asterope,1,MinorBody,P,0,0,0,0,
12,4 Vesta,1,MinorBody,P,0,0,0,0,
13,90 Antiope,1,MinorBody,P,0,0,0,0,
14,Dactyl,1,MinorBody,P,0,0,0,0,
15,3200 Phaethon,1,MinorBody,P,0,0,0,0,
16,2020 AV2,1,MinorBody,PS,0,0,0,0,
17,(322756) 2001 CK32,1,MinorBody,P,0,0,0,0,
18,163693 Atira,1,MinorBody,P,0,0,0,0,
19,3753 Cruithne,1,MinorBody,P,0,0,0,0,
20,1991 VG,1,MinorBody,P,0,0,0,0,
21,2010 TK7,1,MinorBody,P,0,0,0,0,
22,(469219) Kamo'oalewa,1,MinorBody,P,1,1,1,1,
23,4660 Nereus,1,MinorBody,P,1,1,1,1,
24,433 Eros,1,MinorBody,P,0,0,0,0,
25,5261 Eureka,1,MinorBody,P,1,1,1,1,
26,8 Flora,1,MinorBody,P,1,1,1,1,
27,25 Phocaea,1,MinorBody,P,0,0,0,0,
28,65 Cybele,1,MinorBody,P,1,1,1,1,
29,153 Hilda,1,MinorBody,P,0,0,0,0,
30,6P/d'Arrest,1,MinorBody,P,2,2,2,2,
31,21P/Giacobini-Zinner,1,MinorBody,P,2,2,2,2,
32,1P/Halley,1,MinorBody,P,2,2,2,2,
33,C/2014 S3 (PANSTARRS),1,MinorBody,P,2,2,2,2,
34,5335 Damocles,1,MinorBody,P,0,0,0,0,
35,beta Pic,0,MinorBody,P,0,0,0,0,
36,2P/Encke,1,MinorBody,P,2,2,2,2,
37,7968 Elst-Pizarro,1,MinorBody,P,0,0,0,0,
38,9P/Tempel 1,1,MinorBody,P,2,2,2,2,
39,2060 Chiron,1,MinorBody,PS,0,0,0,0,
40,153P/Ikeya-Zhang,1,MinorBody,P,2,2,2,2,
41,(24835) 1995 SM55,1,MinorBody,P,0,0,0,0,
42,(15788) 1993 SB,1,MinorBody,P,0,0,0,0,
43,(385185) 1993 RO,1,MinorBody,P,0,0,0,0,
44,15760 Albion,1,MinorBody,P,0,0,0,0,
45,79360 Sila-Nunam,1,MinorBody,P,0,0,0,0,
46,2011 QF99,1,MinorBody,P,1,1,1,1,
47,2001 QR322,1,MinorBody,P,0,0,0,0,
48,(523899) 1997 CV29,1,MinorBody,P,1,1,1,1,
49,(20161) 1996 TR66,1,MinorBody,P,0,0,0,0,
50,(91554) 1999 RZ215,1,MinorBody,P,0,0,0,0,
51,(181902) 1999 RD215,1,MinorBody,P,0,0,0,0,
52,541132 Leleakuhonua,1,MinorBody,PS,0,0,0,0,
53,Phobos,1,MinorBody,PS,1,1,1,1,
54,Amalthea,1,MinorBody,P,0,0,0,0,
55,Methone,1,MinorBody,P,0,0,0,0,
56,Himalia,1,MinorBody,P,0,0,0,0,
57,Phoebe,1,MinorBody,P,0,0,0,0,
58,Helene,1,MinorBody,P,0,0,0,0,
59,Epimetheus,1,MinorBody,P,0,0,0,0,
60,2006 RH120,1,MinorBody,P,0,0,0,0,
61,Prometheus,1,MinorBody,P,0,0,0,0,
62,Hyperion,1,MinorBody,P,0,0,0,0,
63,WD 1145+017,0,MinorBody,P,1,1,1,1,
64,Saturn,1,MinorBody,P,0,0,0,0,
65,Neptune,1,MinorBody+GiantPlanet,P,0,0,0,0,
66,L5 Kordylewsky cloud,1,MinorBody,P,0,0,0,0,
67,C/2019 Q4 (Borisov),1,MinorBody,P,2,2,2,2,
68,1I/'Oumuamua,1,MinorBody,PA,2,2,2,2,
69,TW Hya,0,MinorBody+Star,P,0,0,0,0,
70,EPIC 203937317,0,MinorBody,P,0,0,0,0,
71,GM Aur,0,MinorBody,P,0,0,0,0,
72,tau Cet,0,MinorBody+Star,P,0,0,0,0,
73,kappa Psc,0,MinorBody,P,1,1,1,1,
74,Altair,0,MinorBody,P,1,1,1,1,
75,NGC 2547 ID8,0,MinorBody,P,0,0,0,0,
76,BD+20 307,0,MinorBody,P,0,0,0,0,
77,NGC 7293*,0,MinorBody+CollapsedStar,P,1,1,1,1,
78,G29-38,0,MinorBody,P,1,1,1,1,
79,WD J0914+1914,0,MinorBody+GiantPlanet,P,1,1,1,1,
80,Mercury,1,SolidPlanetoid,P,1,1,1,1,
81,K2-229,0,SolidPlanetoid,P,1,1,1,1,
82,Mars,1,SolidPlanetoid,P,1,1,1,1,
83,Kepler 444,0,SolidPlanetoid,PS,1,1,1,1,
84,Proxima Cen,0,SolidPlanetoid,P,0,0,0,0,
85,Venus,1,SolidPlanetoid,PS,0,0,0,0,
86,Kepler 78,0,SolidPlanetoid,P,1,1,1,1,
87,Barnard's star,0,SolidPlanetoid,P,1,1,1,1,
88,LHS 1140,0,SolidPlanetoid+Star,PE,0,0,0,0,
89,HD 40307,0,SolidPlanetoid,P,0,0,0,0,
90,55 Cnc,0,SolidPlanetoid,P,0,0,0,0,
91,TRAPPIST-1,0,SolidPlanetoid+Star,PSE,1,1,1,1,
92,TOI 849 b,0,SolidPlanetoid,P,0,0,0,0,
93,KIC 12557548,0,SolidPlanetoid,P,1,1,1,1,
94,PSR B1257+12,0,SolidPlanetoid,PSA,1,1,1,1,
95,1 Ceres,1,SolidPlanetoid,PS,0,0,0,0,
96,136199 Eris,1,SolidPlanetoid,PS,0,0,0,0,
97,134340 Pluto,1,SolidPlanetoid,PS,0,0,0,0,
98,90377 Sedna,1,SolidPlanetoid,PS,0,0,0,0,
99,136472 Makemake,1,SolidPlanetoid,P,0,0,0,0,
100,136108 Haumea,1,SolidPlanetoid,P,0,0,0,0,
101,Moon,1,SolidPlanetoid,PS,0,0,0,0,
102,Titan,1,SolidPlanetoid,P,0,0,0,0,
103,Triton,1,SolidPlanetoid,P,0,0,0,0,
104,Europa,1,SolidPlanetoid,P,1,1,1,1,
105,Callisto,1,SolidPlanetoid,P,0,0,0,0,
106,Ganymede,1,SolidPlanetoid,PS,1,1,1,1,
107,Enceladus,1,SolidPlanetoid,PS,0,0,0,0,
108,Io,1,SolidPlanetoid,PS,0,0,0,0,
109,Kepler 22,0,GiantPlanet,P,1,1,1,1,
110,GJ 436,0,GiantPlanet,P,1,1,1,1,
111,HATS-P-26,0,GiantPlanet,P,1,1,1,1,
112,GJ 1214,0,GiantPlanet,P,1,1,1,1,
113,Jupiter,1,GiantPlanet,PS,0,0,0,0,
114,HD 93083,0,GiantPlanet,P,0,0,0,0,
115,HATS-17,0,GiantPlanet,P,0,0,0,0,
116,HD 189733,0,GiantPlanet,P,1,1,1,1,
117,HD 209458,0,GiantPlanet,P,1,1,1,1,
118,Kepler 18,0,GiantPlanet,P,1,1,1,1,
119,HR 8799,0,GiantPlanet,P,1,1,1,1,
120,HD 28185,0,GiantPlanet,P,0,0,0,0,
121,HD 80606,0,GiantPlanet,P,1,1,1,1,
122,HD 147506,0,GiantPlanet,P,0,0,0,0,
123,Pollux,0,GiantPlanet,P,1,1,1,1,
124,PSR B1620-26,0,GiantPlanet,PS,0,0,0,0,
125,Kepler 16,0,GiantPlanet,P,1,1,1,1,
126,NN Ser,0,GiantPlanet,P,1,1,1,1,
127,Kepler 223,0,GiantPlanet,P,1,1,1,1,
128,IRAS 16293-2422,0,Star,P,0,0,0,0,
129,Elias 29,0,Star,P,0,0,0,0,
130,IRAS 20126+4104,0,Star,P,1,1,1,1,
