ID,Plaintext Name,Horizons Name,Simbad Name,Solar System Flag,RA (hours),DEC,RA (deg),RA (solsys),DEC (solsys)
1,446 Aeternitas,446 Aeternitas (A899 UB),,1,,,,,
2,52 Europa,52 Europa (A858 CA),,1,,,,,
3,624 Hektor,624 Hektor (A907 CF),,1,,,,,
4,434 Hungaria,434 Hungaria (A898 RB),,1,,,,,
5,16 Psyche,16 Psyche (A852 FA),,1,,,,,
6,3628 Boznemcova,3628 Boznemcova (1979 WD),,1,,,,,
7,420 Bertholda,420 Bertholda (A896 RC),,1,,,,,
8,1862 Apollo,1862 Apollo (1932 HA),,1,,,,,
9,349 Dembowska,349 Dembowska (A892 XB),,1,,,,,
10,15 Eunomia,15 Eunomia (A851 OA),,1,,,,,
11,233 Asterope,233 Asterope (A883 JA),,1,,,,,
12,4 Vesta,4 Vesta (A807 FA),,1,,,,,
13,90 Antiope,90 Antiope (A866 TA),,1,,,,,
14,Dactyl,243 Ida (A884 SB),,1,,,,,
15,3200 Phaethon,3200 Phaethon (1983 TB),,1,,,,,
16,2020 AV2,594913 'Aylo'chaxnim (2020 AV2),,1,,,,,
17,(322756) 2001 CK32,322756 (2001 CK32),,1,,,,,
18,163693 Atira,163693 Atira (2003 CP20),,1,,,,,
19,3753 Cruithne,3753 Cruithne (1986 TO),,1,,,,,
20,1991 VG,(1991 VG),,1,,,,,
21,2010 TK7,706765 (2010 TK7),,1,,,,,
22,(469219) Kamo'oalewa,469219 Kamo`oalewa (2016 HO3),,1,,,,,
23,4660 Nereus,4660 Nereus (1982 DB),,1,,,,,
24,433 Eros,433 Eros (A898 PA),,1,,,,,
25,5261 Eureka,5261 Eureka (1990 MB),,1,,,,,
26,8 Flora,8 Flora (A847 UA),,1,,,,,
27,25 Phocaea,25 Phocaea (A853 GB),,1,,,,,
28,65 Cybele,65 Cybele (A861 EB),,1,,,,,
29,153 Hilda,153 Hilda (A875 VC),,1,,,,,
30,6P/d'Arrest,6P/d'Arrest (90000145),,1,,,,,
31,21P/Giacobini-Zinner,21P/Giacobini-Zinner (90000324),,1,,,,,
32,1P/Halley,2688 Halley (1982 HG1),,1,,,,,
33,C/2014 S3 (PANSTARRS),C/2014 S3 (90004289),,1,,,,,
34,5335 Damocles,5335 Damocles (1991 DA),,1,,,,,
35,beta Pic,,bet Pic,0,5.788083333,-51.066389,86.82125,,
36,2P/Encke,9134 Encke (4822 P-L),,1,,,,,
37,7968 Elst-Pizarro,7968 Elst-Pizarro (1996 NU5),,1,,,,,
38,9P/Tempel 1,9P/Tempel 1 (90000192),,1,,,,,
39,2060 Chiron,2060 Chiron (1977 UB),,1,,,,,
40,153P/Ikeya-Zhang,153P/Ikeya-Zhang [2002] (74) - default,,1,,,,,
41,(24835) 1995 SM55,24835 (1995 SM55),,1,,,,,
42,(15788) 1993 SB,15788 (1993 SB),,1,,,,,
43,(385185) 1993 RO,385185 (1993 RO),,1,,,,,
44,15760 Albion,15760 Albion (1992 QB1),,1,,,,,
45,79360 Sila-Nunam,79360 Sila-Nunam (1997 CS29),,1,,,,,
46,2011 QF99,687170 (2011 QF99),,1,,,,,
47,2001 QR322,612243 (2001 QR322),,1,,,,,
48,(523899) 1997 CV29,523899 (1997 CV29),,1,,,,,
49,(20161) 1996 TR66,20161 (1996 TR66),,1,,,,,
50,(91554) 1999 RZ215,91554 (1999 RZ215),,1,,,,,
51,(181902) 1999 RD215,181902 (1999 RD215),,1,,,,,
52,541132 Leleakuhonua,541132 Leleakuhonua (2015 TG387),,1,,,,,
53,Phobos,Phobos (401),,1,,,,,
54,Amalthea,Amalthea (505),,1,,,,,
55,Methone,Methone (506),,1,,,,,
56,Himalia,Himalia (506),,1,,,,,
57,Phoebe,Phoebe (SIX),,1,,,,,
58,Helene,Helene (612),,1,,,,,
59,Epimetheus,Epimetheus (611),,1,,,,,
60,2006 RH120,(2006 RH120),,1,,,,,
