ID,Plaintext Name,Horizons Name,RA (deg),DEC,RA (hours),RA (solsys),DEC (solsys),Solar System Flag
454,NGC 7793,,359.4575,-32.591111,23.963833333333334,,,0.0
519,[GPS],,,,,,,1.0
520,[ComSat],,,,,,,1.0
521,[AmRadSat],,,,,,,1.0
522,[EarthObsSat],,,,,,,1.0
523,[WeatherSat],,,,,,,1.0
526,LightSail 2,,,,,,,1.0
528,Vanguard I,Vanguard I,,,,,,1.0
529,[Booster],,,,,,,1.0
530,1963-014G,1963-014G,,,,,,1.0
531,1976-103G,1976-103G,,,,,,1.0
533,Solar antipoint,Solar antipoint,,,,,,1.0
547,Iapetus,Iapetus (SVIII),0.31153,-2.19538,0.020768666666666664,,,1.0
102,Titan,Titan (606),0.38253,-2.16073,0.025502,,,1.0
107,Enceladus,Enceladus (602),0.40677,-2.16409,0.027118,,,1.0
546,Mimas,Mimas (601),0.41012,-2.16441,0.027341333333333332,,,1.0
61,Prometheus,Prometheus (616),0.41045,-2.1641,0.027363333333333333,,,1.0
62,Hyperion,Hyperion (607),0.41153,-2.16196,0.027435333333333332,,,1.0
64,Saturn,Saturn (699),0.41509,-2.16455,0.02767266666666667,,,1.0
58,Helene,Helene (612),0.41619,-2.16398,0.027746,,,1.0
59,Epimetheus,Epimetheus (611),0.41859,-2.165,0.027906,,,1.0
548,Tethys,Tethys (SIII),0.41868,-2.16508,0.027912,,,1.0
65,Neptune,Neptune (899),0.64405,-1.14964,0.042936666666666665,,,1.0
542,Proteus,Proteus (NVIII),0.6441,-1.14895,0.04294,,,1.0
103,Triton,Triton (801),0.64665,-1.14652,0.043109999999999996,,,1.0
57,Phoebe,Phoebe (SIX),0.93528,-1.94336,0.062352,,,1.0
543,Neso,Neso (2002N4),1.44934,-1.4787,0.09662266666666668,,,1.0
486,Mrk 335,,1.58125,20.203056,0.10541666666666667,,,0.0
206,alpha And A,,2.097083,29.090556,0.13980553333333334,,,0.0
662,A2744z8OD,,3.60375,-30.382222,0.24025,,,0.0
